"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"20209","Wyandotte County, KS","1.4","1.1","38","8","0.08","0.063","5","2","1","27","11","89","25","."
"21013","Bell County, KY",".",".",".",".","0.06","0.053",".",".",".","14","7.4",".",".","."
"21015","Boone County, KY",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"21019","Boyd County, KY",".",".","27","5","0.07","0.059","5","1","0","16","7.5","40","19","."
"21029","Bullitt County, KY",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"21037","Campbell County, KY",".",".","28","5","0.07","0.063","10","2","0","16","7.8",".",".","."
"21043","Carter County, KY",".",".",".",".","0.06","0.053",".",".",".","11","5.6","17","9","."
"21047","Christian County, KY",".",".",".",".","0.06","0.059",".",".",".",".",".",".",".","."
"21059","Daviess County, KY",".",".","26","4","0.07","0.065","12","2","0","19","7.9",".",".","."
"21061","Edmonson County, KY","0.2","0.2",".",".","0.06","0.056","2","1","0",".",".",".",".","."
"21067","Fayette County, KY",".",".","38","5","0.07","0.06","3","1","0","17","7.8","21","13","."
"21089","Greenup County, KY",".",".",".",".","0.06","0.052","6","2","0",".",".",".",".","."
"21091","Hancock County, KY",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"21093","Hardin County, KY",".",".",".",".","0.07","0.06",".",".",".","16","7.4",".",".","."
"21101","Henderson County, KY",".",".",".",".",".",".","73","27","1",".",".",".",".","."
"21111","Jefferson County, KY","1.6","1.1","44","13","0.08","0.071","15","3","1","22","9.7","47","16","."
"21113","Jessamine County, KY",".",".",".",".","0.07","0.059","3","1","0",".",".",".",".","."
"21139","Livingston County, KY",".",".",".",".","0.08","0.064",".",".",".",".",".",".",".","."
"21145","McCracken County, KY",".",".","30","4","0.08","0.064","7","2","0","23","8.8","27","14","."
"21151","Madison County, KY",".",".",".",".",".",".",".",".",".",".",".",".",".","0.02"
"21175","Morgan County, KY",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"21185","Oldham County, KY",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"21193","Perry County, KY",".",".",".",".","0.06","0.055",".",".",".","14","7.3",".",".","."
"21195","Pike County, KY",".",".",".",".","0.06","0.053",".",".",".","14","6.6",".",".","."
"21199","Pulaski County, KY",".",".",".",".","0.06","0.056",".",".",".","14","7.3",".",".","."
"21213","Simpson County, KY",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"21221","Trigg County, KY",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"21227","Warren County, KY",".",".",".",".","0.06","0.057",".",".",".","17","8.2",".",".","."
"21229","Washington County, KY",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"22005","Ascension Parish, LA",".",".","28","6","0.08","0.066",".",".",".",".",".",".",".","."
"22015","Bossier Parish, LA",".",".",".",".","0.07","0.057","10","1","0",".",".","84","18","."
"22017","Caddo Parish, LA",".",".",".",".","0.07","0.055",".",".",".","27","9.5",".",".","."
"22019","Calcasieu Parish, LA",".",".",".","7","0.08","0.064","21","6","1","22","7.5",".",".","."
"22033","East Baton Rouge Parish, LA","1.2","0.8","40","7","0.09","0.066","19","6","0","22","8.2","62","19","0.01"
"22047","Iberville Parish, LA",".",".",".","3","0.09","0.069",".",".",".","17","7.5",".",".","."
"22051","Jefferson Parish, LA",".",".","34","5","0.08","0.063",".",".",".","18","7.3",".",".","."
"22055","Lafayette Parish, LA",".",".",".",".","0.07","0.058",".",".",".","27","8.2","90","15","."
"22057","Lafourche Parish, LA",".",".",".",".","0.08","0.06",".",".",".",".",".",".",".","."
"22063","Livingston Parish, LA",".",".","12","2","0.08","0.063",".",".",".",".",".",".",".","."
"22071","Orleans Parish, LA","2","1.3","43","8",".",".",".",".",".","20","7.8","58","17","."
"22073","Ouachita Parish, LA",".",".",".",".","0.06","0.057",".",".",".","18","7.3",".",".","."
"22077","Pointe Coupee Parish, LA",".",".",".",".","0.08","0.064",".",".",".",".",".",".",".","."
"22079","Rapides Parish, LA",".",".",".",".",".",".",".",".",".","18","7.3",".",".","."
"22087","St. Bernard Parish, LA",".",".",".",".","0.07","0.059","45","13","1","21","7.9","53","16","."
"22089","St. Charles Parish, LA",".",".",".",".",".",".","56","24","2",".",".",".",".","."
"22093","St. James Parish, LA",".",".",".",".","0.07","0.06","5","1","0",".",".",".",".","."
"22095","St. John the Baptist Parish, LA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","0.01"
"22099","St. Martin Parish, LA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"22103","St. Tammany Parish, LA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"22105","Tangipahoa Parish, LA",".",".",".",".",".",".",".",".",".","18","7.5",".",".","."
"22109","Terrebonne Parish, LA",".",".",".",".",".",".",".",".",".","20","7.4",".",".","."
"22121","West Baton Rouge Parish, LA",".",".","36","7","0.08","0.068","37","12","1","21","8.6",".",".","."
"23001","Androscoggin County, ME",".",".",".",".","0.06","0.052",".",".",".","15","5.1","23","11","."
"23003","Aroostook County, ME","1","0.5",".",".","0.06","0.051",".",".",".","15","5.7","36","12","."
"23005","Cumberland County, ME","1.1","0.9","47","6","0.07","0.058","4","1","0","17","7.5","49","18","."
"23009","Hancock County, ME","0.2","0.2",".",".","0.08","0.068","1","0","0","7","2.3","16","6","."
"23011","Kennebec County, ME",".",".",".",".","0.07","0.052",".",".",".","17","5.8","35","11","."
"23013","Knox County, ME",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"23017","Oxford County, ME",".",".",".",".","0.06","0.051",".",".",".",".",".",".",".","."
"23019","Penobscot County, ME",".",".",".",".","0.06","0.056",".",".",".","12","4.6","38","12","."
"23029","Washington County, ME",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"23031","York County, ME",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"24003","Anne Arundel County, MD",".",".",".",".","0.08","0.066",".",".",".",".",".","21","10","."
"24005","Baltimore County, MD","2.1","1.5","39","13","0.09","0.069","5","2","0","21","7.6",".",".","."
"24009","Calvert County, MD",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"24013","Carroll County, MD",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"24015","Cecil County, MD",".",".",".",".","0.08","0.064",".",".",".","14","5.6",".",".","."
"24017","Charles County, MD",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"24019","Dorchester County, MD",".",".",".",".","0.07","0.062","1","1","0","10","4.4",".",".","."
"24021","Frederick County, MD",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"24023","Garrett County, MD","0.3","0.2","9","2","0.07","0.056","2","1","0","10","4.6",".",".","."
"24025","Harford County, MD",".",".",".",".","0.09","0.067",".",".",".","15","5.8",".",".","."
"24027","Howard County, MD","0.8","0.7","40","14",".",".",".",".",".","14","7",".",".","."
"24029","Kent County, MD",".",".",".",".","0.08","0.061",".",".",".","10","4.6",".",".","."
"24031","Montgomery County, MD",".",".",".",".","0.07","0.059",".",".",".","16","5.9",".",".","."
"24033","Prince George's County, MD","0.8","0.7","32","5","0.09","0.065","1","0","0","13","5.8","17","9","."
"24043","Washington County, MD",".",".",".",".","0.06","0.057",".",".",".","18","6.6",".",".","."
"24510","Baltimore (City), MD",".",".","48","12",".",".",".",".",".","23","6.9","32","12","."
"25001","Barnstable County, MA",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"25003","Berkshire County, MA",".",".",".",".","0.07","0.054",".",".",".","23","7.6",".",".","."
"25005","Bristol County, MA",".",".",".",".","0.09","0.066","3","1","0","17","6.2",".",".","."
"25007","Dukes County, MA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"25009","Essex County, MA",".",".",".",".","0.07","0.059",".",".",".","14","7.2",".",".","."
"25011","Franklin County, MA",".",".",".",".","0.06","0.052",".",".",".","20","8.2",".",".","."
"25013","Hampden County, MA","1","0.9","44","10","0.07","0.061","3","2","0","22","8.7",".",".","."
"25015","Hampshire County, MA",".",".","23","2","0.07","0.061","1","1","0",".",".","16","8","."
"25017","Middlesex County, MA",".",".","39","11","0.08","0.059",".",".",".","14","6.7",".",".","."
"25021","Norfolk County, MA",".",".","25","3","0.07","0.053",".",".",".",".",".",".",".","."
"25023","Plymouth County, MA",".",".",".",".","0.07","0.06",".",".",".","18","7.5",".",".","."
"25025","Suffolk County, MA","1.5","1.1","46","12","0.07","0.057","2","1","0","16","8.3","25","12","."
"25027","Worcester County, MA","2.1","1.1","45","10","0.08","0.063","2","1","0","16","8","33","13","."
"26005","Allegan County, MI",".",".",".",".","0.09","0.076",".",".",".","13","6",".",".","."
"26017","Bay County, MI",".",".",".",".",".",".",".",".",".","14","4.7",".",".","."
"26019","Benzie County, MI",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"26021","Berrien County, MI",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"26027","Cass County, MI",".",".",".",".","0.08","0.075",".",".",".",".",".",".",".","."
"26037","Clinton County, MI",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"26049","Genesee County, MI",".",".",".",".","0.08","0.068",".",".",".","16","6.6",".",".","."
"26063","Huron County, MI",".",".",".",".","0.1","0.075",".",".",".",".",".",".",".","."
"26065","Ingham County, MI",".",".","33","6","0.07","0.062","4","2","1","22","7.1",".",".","."
"26067","Ionia County, MI",".",".",".",".",".",".",".",".",".",".",".",".",".","0.01"
"26077","Kalamazoo County, MI",".",".",".",".","0.08","0.072",".",".",".","18","7.7",".",".","."
"26081","Kent County, MI","1.4","1.1",".",".","0.08","0.078","3","1","0","18","7.7","27","9","."
"26091","Lenawee County, MI",".",".",".",".","0.07","0.067",".",".",".","19","8.2",".",".","."
"26099","Macomb County, MI",".",".",".",".","0.09","0.074",".",".",".","16","6",".",".","."
"26105","Mason County, MI",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"26113","Missaukee County, MI",".",".","6","1","0.07","0.068",".",".",".",".",".",".",".","."
"26115","Monroe County, MI",".",".",".",".",".",".","7","2","1",".",".","83","22","."
"26121","Muskegon County, MI",".",".",".",".","0.1","0.08",".",".",".",".",".",".",".","."
"26125","Oakland County, MI",".",".",".",".","0.08","0.074",".",".",".","23","7.4",".",".","."
"26139","Ottawa County, MI",".",".","28","5","0.09","0.075","15","6","1","18","7.4","21","7","."
"26147","St. Clair County, MI",".",".",".",".","0.08","0.069","76","17","2","17","6.7",".",".","0.03"
"26153","Schoolcraft County, MI",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"26157","Tuscola County, MI",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"26161","Washtenaw County, MI",".",".",".",".","0.08","0.072",".",".",".","20","8.2",".",".","."
"26163","Wayne County, MI","2.4","1.8","44","13","0.08","0.073","43","15","2","26","10.6","88","24","0.04"
"26165","Wexford County, MI",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"27003","Anoka County, MN","1.9","0.6",".","5","0.07","0.061",".",".",".","16","6.2","54","13","0.01"
"27005","Becker County, MN",".",".",".",".","0.07","0.059",".",".",".","14","4.2",".",".","."
"27007","Beltrami County, MN",".",".",".",".",".",".",".",".",".","13","5.7",".",".","."
"27017","Carlton County, MN",".",".",".",".","0.07","0.054",".",".",".","8","1.3",".",".","."
"27021","Cass County, MN",".",".",".",".",".",".",".",".",".","13","4.4",".",".","."
"27031","Cook County, MN",".",".",".",".",".",".",".",".",".","9","2.6",".",".","."
"27035","Crow Wing County, MN",".",".",".",".","0.06","0.054",".",".",".","12","4.2",".",".","."
"27037","Dakota County, MN","1","0.9","27","7",".",".","12","6","1","17","7.6",".",".","0.08"
"27049","Goodhue County, MN",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"27053","Hennepin County, MN","2.1","1.2",".","11","0.05","0.046","5","2","1","20","8.7","108","30","0.01"
"27075","Lake County, MN",".",".",".",".","0.06","0.055",".",".",".","10","5.3",".",".","."
"27083","Lyon County, MN",".",".",".",".","0.07","0.062",".",".",".","17","5.3",".",".","."
"27095","Mille Lacs County, MN",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"27109","Olmsted County, MN",".",".",".",".","0.08","0.067",".",".",".","17","5.6",".",".","."
"27123","Ramsey County, MN",".",".",".",".",".",".",".",".",".","19","7.8","72","28","0.02"
"27137","Saint Louis County, MN",".",".",".","5","0.06","0.054",".",".",".","15","7.3","74","25","0"
"27139","Scott County, MN",".",".",".",".","0.07","0.058",".",".",".","15","5.8",".",".","."
"27145","Stearns County, MN",".",".",".",".","0.07","0.061",".",".",".","15","5.8",".",".","."
"27163","Washington County, MN",".",".",".",".","0.07","0.06","5","2","1",".",".",".",".","0.01"
"27171","Wright County, MN",".",".",".",".","0.07","0.063",".",".",".","16","6.2",".",".","."
"28011","Bolivar County, MS",".",".",".",".","0.07","0.059",".",".",".","20","8.6",".",".","."
"28033","DeSoto County, MS",".",".",".",".","0.08","0.062",".",".",".","18","8.2",".",".","."
"28035","Forrest County, MS",".",".",".",".",".",".",".",".",".","19","9.6",".",".","."
"28045","Hancock County, MS",".",".",".",".","0.06","0.059",".",".",".","18","8.4",".",".","."
"28047","Harrison County, MS",".",".",".",".","0.07","0.059",".",".",".","20","9.6",".",".","."
"28049","Hinds County, MS","1.4","1.1",".",".","0.06","0.053","4","2","1","22","10.2","75","19","."
"28059","Jackson County, MS",".",".","27","3","0.07","0.059","6","2","1","17","8.7",".",".","."
"28075","Lauderdale County, MS",".",".",".",".","0.06","0.051",".",".",".",".",".",".",".","."
"28081","Lee County, MS",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"28161","Yalobusha County, MS",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"29003","Andrew County, MO",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"29019","Boone County, MO",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"29021","Buchanan County, MO",".",".",".",".",".",".",".",".",".","17","7.7","89","28","."
"29027","Callaway County, MO",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"29037","Cass County, MO",".",".",".",".","0.07","0.058",".",".",".","15","6.2",".",".","."
"29039","Cedar County, MO",".",".",".",".","0.07","0.057",".",".",".","14","6.5",".",".","."
"29047","Clay County, MO",".",".",".",".","0.09","0.066",".",".",".","15","6.2",".",".","."
"29049","Clinton County, MO",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"29071","Franklin County, MO",".",".",".",".",".",".","34","6","1",".",".",".",".","."
"29077","Greene County, MO",".",".",".",".","0.07","0.056",".",".",".","17","7.5","81","13","."
"29087","Holt County, MO",".",".",".",".",".",".",".",".",".",".",".",".",".","0.02"
"29093","Iron County, MO",".",".",".",".",".",".","48","9","2",".",".",".",".","0.14"
"29095","Jackson County, MO","1.5","1","42","10",".",".","7","3","1","23","10.1","138","32","."
"29097","Jasper County, MO",".",".",".",".","0.07","0.056",".",".",".",".",".","111","24","."
"29099","Jefferson County, MO",".",".",".",".","0.07","0.066","22","4","1","18","7.6","58","13","0.05"
"29113","Lincoln County, MO",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"29137","Monroe County, MO",".",".","8","2","0.07","0.056","5","3","1",".",".","38","11","."
"29143","New Madrid County, MO",".",".",".",".",".",".","367","161","24",".",".",".",".","."
"29157","Perry County, MO",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"29179","Reynolds County, MO",".",".",".",".",".",".",".",".",".",".",".",".",".","0.03"
"29183","Saint Charles County, MO",".",".",".",".","0.09","0.071","31","6","1",".",".",".",".","."
"29186","Sainte Genevieve County, MO",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"29187","Saint Francois County, MO",".",".",".",".",".",".",".",".",".",".",".",".",".","0.03"
"29189","Saint Louis County, MO",".",".","39","9","0.08","0.074","12","4","1","22","8.6",".",".","."
"29510","St. Louis City, MO","2.2","1.6","41","10","0.08","0.066","8","2","0","38","10","67","21","."
"30027","Fergus County, MT",".",".","12","1","0.07","0.057",".",".",".","23","4.7","89","10","."
"30029","Flathead County, MT",".",".",".",".","0.06","0.052",".",".",".","38","7","167","24","."
"30031","Gallatin County, MT","1.1","0.7","24","2",".",".",".",".",".","40","2.3",".",".","."
"30049","Lewis and Clark County, MT","0.9","0.6",".",".","0.07","0.059","1","1","0","32","7.5",".",".","."
"30053","Lincoln County, MT",".",".",".",".",".",".",".",".",".","45","13.8","248","19","."
"30063","Missoula County, MT",".",".",".",".","0.06","0.055",".",".",".","33","8.6","132","16","."
"30071","Phillips County, MT",".",".","6","1","0.06","0.052",".",".",".",".",".","150","20","."
"30075","Powder River County, MT",".",".","9","1","0.07","0.06",".",".",".","30","7.7","124","29","."
"30081","Ravalli County, MT",".",".",".",".",".",".",".",".",".","36","5.9",".",".","."
"30083","Richland County, MT",".",".","9","1","0.11","0.054","7","2","0","12","4.3",".",".","."
"30087","Rosebud County, MT",".",".","6","1","0.07","0.059",".",".",".",".",".","96","18","."
"30089","Sanders County, MT",".",".",".",".",".",".",".",".",".",".",".","185","17","."
"30093","Silver Bow County, MT",".",".",".",".",".",".",".",".",".","41","7.6","123","19","."
"30111","Yellowstone County, MT",".",".",".",".",".",".","18","4","1","27","7",".",".","."
"31025","Cass County, NE",".",".",".",".",".",".",".",".",".",".",".","90","19","."
"31055","Douglas County, NE","1.8","1.6",".",".","0.07","0.058","44","19","1","17","7.2","74","24","."
"31079","Hall County, NE",".",".",".",".",".",".",".",".",".","19","5.5",".",".","."
"31107","Knox County, NE",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"31109","Lancaster County, NE",".",".",".",".","0.06","0.054","25","9","0","17","6.2",".",".","."
"31153","Sarpy County, NE",".",".",".",".",".",".",".",".",".","17","7.8",".",".","."
"31177","Washington County, NE",".",".",".",".",".",".",".",".",".","16","6.2",".",".","."
"32001","Churchill County, NV",".",".",".",".","0.09","0.068",".",".",".",".",".",".",".","."
"32003","Clark County, NV","2.7","2.3","57","23","0.1","0.078","5","3","1","33","12.2","210","40","."
"32005","Douglas County, NV",".",".",".",".",".",".",".",".",".","70","9.4",".",".","."
"32007","Elko County, NV",".",".",".",".",".",".",".",".",".",".",".","125","25","."
"32019","Lyon County, NV",".",".",".",".","0.09","0.069",".",".",".",".",".",".",".","."
"32023","Nye County, NV",".",".",".",".",".",".",".",".",".",".",".","333","27","."
"32031","Washoe County, NV","2.4","1.8","46","12","0.1","0.079","3","1","0","75","11.1","220","29","."
"32033","White Pine County, NV",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"32510","Carson City, NV",".",".",".",".","0.09","0.075",".",".",".","61","8.8",".",".","."
"33001","Belknap County, NH",".",".",".",".","0.06","0.053",".",".",".","10","4.1",".",".","."
"33005","Cheshire County, NH",".",".",".",".","0.06","0.05",".",".",".","18","6.2",".",".","."
"33007","Coos County, NH",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"33009","Grafton County, NH",".",".",".",".","0.06","0.05",".",".",".","14","4.3",".",".","."
"33011","Hillsborough County, NH","0.4","0.3",".",".","0.07","0.058","1","1","0","9","3",".",".","."
"33013","Merrimack County, NH",".",".",".",".","0.07","0.055","24","7","1",".",".",".",".","."
"33015","Rockingham County, NH","0.4","0.4",".","2","0.07","0.06","6","3","1","13","5.9",".",".","."
"34001","Atlantic County, NJ",".",".",".",".","0.07","0.059","1","0","0","16","7",".",".","."
"34003","Bergen County, NJ","1.5","1.1","51","15","0.09","0.066",".",".",".",".",".",".",".","."
"34007","Camden County, NJ","1.5","1","41","10","0.07","0.062","7","2","1","19","8.5",".",".","."
"34011","Cumberland County, NJ",".",".","32","6","0.07","0.06",".",".",".","16","8.3",".",".","."
"34013","Essex County, NJ","2.7","2.1","54","14","0.08","0.064","3","1","0","20","8.8",".",".","."
"34015","Gloucester County, NJ",".",".",".",".","0.08","0.064",".",".",".",".",".",".",".","."
"34017","Hudson County, NJ","2.2","1.9","51","17","0.09","0.063","2","1","0",".",".",".",".","."
"34019","Hunterdon County, NJ",".",".",".",".","0.07","0.059",".",".",".","18","7.4",".",".","."
"34021","Mercer County, NJ",".",".",".",".","0.09","0.07",".",".",".","16","7.2",".",".","."
"34023","Middlesex County, NJ",".",".","37","7","0.09","0.066",".",".",".","21","7.6",".",".","."
"34025","Monmouth County, NJ",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"34027","Morris County, NJ",".",".","24","3","0.07","0.06","4","2","0",".",".",".",".","."
"34029","Ocean County, NJ",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"34031","Passaic County, NJ",".",".",".",".","0.09","0.062",".",".",".",".",".",".",".","."
"34039","Union County, NJ","2.3","1.6","55","18",".",".","4","2","1","21","9.1",".",".","."
"34041","Warren County, NJ",".",".","37","10","0.08","0.054","6","2","0","18","7.2",".",".","."
"35001","Bernalillo County, NM","3.7","0.9","41","8","0.08","0.071","3","1","0","25","9.4","349","45","."
"35013","Dona Ana County, NM",".",".","49","8","0.1","0.077",".",".",".","23","9","367","43","."
"35015","Eddy County, NM",".",".",".","5","0.09","0.073",".",".",".",".",".",".",".","."
"35025","Lea County, NM",".",".","32","5","0.07","0.06",".",".",".","18","5.6",".",".","."
"35029","Luna County, NM",".",".",".",".",".",".",".",".",".",".",".","126","26","."
"35039","Rio Arriba County, NM",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"35043","Sandoval County, NM",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"35045","San Juan County, NM",".",".","29","10","0.08","0.069","13","4","1",".",".","91","12","."
"35049","Santa Fe County, NM",".",".",".",".","0.08","0.069",".",".",".","13","4.5",".",".","."
"35055","Taos County, NM",".",".",".",".",".",".",".",".",".","16","5.8",".",".","."
"35061","Valencia County, NM",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"36001","Albany County, NY",".",".",".",".","0.06","0.053","2","1","0","23","8.7",".",".","."
"36005","Bronx County, NY","1.9","1.3","53","15","0.09","0.069","4","2","0","21","8.3",".",".","."
"36013","Chautauqua County, NY",".",".",".",".","0.07","0.064","3","1","0","12","5.2",".",".","."
"36027","Dutchess County, NY",".",".",".",".","0.08","0.059","1","1","0",".",".",".",".","."
"36029","Erie County, NY","1.3","0.9","40","8","0.07","0.066","16","3","0","19","6.8","27","11","."
"36031","Essex County, NY",".",".",".",".","0.07","0.059","1","1","0","9","3.2",".",".","."
"36041","Hamilton County, NY",".",".",".",".","0.06","0.054","1","0","0",".",".",".",".","."
"36045","Jefferson County, NY",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"36055","Monroe County, NY","1.6","0.9",".","6","0.07","0.061","2","1","0","15","6.6","25","9","."
"36059","Nassau County, NY",".",".",".",".",".",".","14","2","0",".",".",".",".","."
"36061","New York County, NY","1.7","1.4",".",".","0.1","0.069",".",".",".",".",".",".",".","."
"36063","Niagara County, NY",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"36067","Onondaga County, NY",".",".",".",".","0.07","0.058","1","1","0","15","6.4",".",".","."
"36071","Orange County, NY",".",".",".",".","0.09","0.059",".",".",".",".",".",".",".","."
"36075","Oswego County, NY",".",".",".",".","0.07","0.056",".",".",".",".",".",".",".","."
"36079","Putnam County, NY",".",".",".",".","0.07","0.058","1","0","0",".",".",".",".","."
"36081","Queens County, NY","2.1","1.8","54","15","0.09","0.068","6","2","0","16","5.6",".",".","."
"36085","Richmond County, NY",".",".",".",".","0.08","0.062",".",".",".",".",".",".",".","."
"36087","Rockland County, NY",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"36089","St. Lawrence County, NY",".",".",".",".",".",".","89","49","4",".",".",".",".","."
"36091","Saratoga County, NY",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"36101","Steuben County, NY","0.3","0.2",".",".","0.06","0.053","1","1","0","11","4.4",".",".","."
"36103","Suffolk County, NY",".",".",".",".","0.09","0.073","2","1","0",".",".",".",".","."
"36109","Tompkins County, NY",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"36117","Wayne County, NY",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"36119","Westchester County, NY",".",".",".",".","0.09","0.067",".",".",".",".",".",".",".","."
"37003","Alexander County, NC",".",".",".",".","0.06","0.053",".",".",".",".",".",".",".","."
"37011","Avery County, NC",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"37013","Beaufort County, NC",".",".",".",".",".",".","15","2","0",".",".",".",".","."
"37019","Brunswick County, NC",".",".",".",".",".",".","46","9","1",".",".",".",".","."
"37021","Buncombe County, NC",".",".",".",".","0.06","0.054",".",".",".","12","5.7",".",".","."
"37027","Caldwell County, NC",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"37031","Carteret County, NC",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"37033","Caswell County, NC",".",".",".",".","0.06","0.055",".",".",".",".",".","38","10","."
"37035","Catawba County, NC",".",".",".",".",".",".",".",".",".","17","7.6",".",".","."
"37051","Cumberland County, NC",".",".",".",".","0.06","0.055",".",".",".","17","6.8",".",".","."
"37057","Davidson County, NC",".",".",".",".",".",".",".",".",".","19","8.2",".",".","."
"37063","Durham County, NC",".",".",".",".","0.07","0.053","2","1","0","19","7.2","29","10","."
"37065","Edgecombe County, NC",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"37067","Forsyth County, NC",".",".","30","5","0.07","0.062","3","2","1","20","8","60","14","."
"37075","Graham County, NC",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"37077","Granville County, NC",".",".",".",".","0.07","0.054",".",".",".",".",".",".",".","."
"37081","Guilford County, NC",".",".",".",".","0.07","0.057",".",".",".","15","6.4","37","10","."
"37087","Haywood County, NC",".",".",".",".","0.07","0.06","22","9","1",".",".",".",".","."
"37099","Jackson County, NC",".",".",".",".",".",".",".",".",".","13","6.2",".",".","."
"37101","Johnston County, NC",".",".",".",".","0.06","0.055",".",".",".","17","6.6",".",".","."
"37107","Lenoir County, NC",".",".",".",".","0.06","0.056",".",".",".",".",".",".",".","."
"37109","Lincoln County, NC",".",".",".",".","0.07","0.054",".",".",".",".",".",".",".","."
"37113","Macon County, NC",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"37117","Martin County, NC",".",".",".",".","0.06","0.049",".",".",".",".",".",".",".","."
"37119","Mecklenburg County, NC","1.5","1.3","32","9","0.08","0.06","2","1","0","18","8.4","49","13","."
"37121","Mitchell County, NC",".",".",".",".",".",".",".",".",".","12","5.2",".",".","."
"37123","Montgomery County, NC",".",".",".",".","0.06","0.052",".",".",".","14","7.6",".",".","."
"37129","New Hanover County, NC",".",".",".",".","0.06","0.054",".",".",".","13","3.7",".",".","."
"37131","Northampton County, NC",".",".","12","1",".",".",".",".",".",".",".",".",".","."
"37145","Person County, NC",".",".",".",".","0.06","0.051","44","8","1",".",".",".",".","."
"37147","Pitt County, NC",".",".",".",".","0.06","0.055",".",".",".","13","5.7",".",".","."
"37157","Rockingham County, NC",".",".",".",".","0.07","0.055",".",".",".",".",".",".",".","."
"37159","Rowan County, NC",".",".",".",".","0.07","0.058",".",".",".","18","7.6",".",".","."
